Title,Number,Barcode,Author,Summary,Status
The prophet of Yonwood ,F DUP,GRAY381483,"DuPrau, Jeanne","Nickie will grow up to be one of the first citizens of the city of Ember. But for now, she's an eleven-year-old girl whose father was sent away on some mysterious government project.So when the opportunity to move presents itself, Nickie seizes it. But her new town of Yonwood, North Carolina, isn't what she'd anticipated. It's a place full of suspicion and mistrust, where one person's visions of fire and destruction have turned the town's citizens against each other. Nickie explores the oddities around her—her great-grandfather's peculiar journals, a reclusive neighbor who studies the heavens, a strange boy who is fascinated with snakes—all while keeping an eye out for ways to help the world. Or is it already too late to avoid a devastating war?A prequel to the modern-day classic The City of Ember. This highly acclaimed adventure series has captivated kids and teachers alike for almost fifteen years and has sold over 3.5 MILLION copies!An alternate cover for this ISBN can be found here.",Available
The visit.,F DUR,GRAY383511,"Durrenmatt, Friedrich","This is the first complete English translation of the play that many critics consider to be Durrenmatt's finest work. Unlike an earlier version adapted for the English-language stage, this translation adheres faithfully to the author's original play as it was published and performed in German.The action of The Visit takes place in the small town of Guellen, ""somewhere in Central Europe."" An elderly millionairesse, Claire Zachanassian, returns to Guellen, her home town, after an absence of many years. Merely on the promise of her millions, she shortly turns what has been a depressed area into a boom town. But there is a condition attached to her largess, which the natives of Guellen realize only after they have become enmeshed in her vengeful plot: murder. Out of these elements, Durrenmatt has fashioned a many-leveled play which is at once a macabre parable, a deeply moving tragedy, and a scathing indictment of the power of greed.",Available
A walk through a window ,F DYE,GRAY21869,"Dyer, K. C.","If you had a chance to step through a window to the past, would you take it?A Walk Through a Window is the story of Darby, a young girl forced to spend the summer with grandparents she doesn’t know in a place she feels she can never belong. But when a boy down the street extends a hand, it is more than friendship he offers. Together they discover a magical stone window frame that transports them to the very centre of the dramas of our past: the Underground Railroad; the coffin ships of the Irish Potato Famine; and even the Inuit as they crossed the Bering Land Bridge into North America. Over the course of the long, very strange summer, Darby is forced to question part of own her life. And as tragedy threatens her family, that magical walk through a window offers Darby new insight into the people she has always taken for granted – and changes forever her perception of Canada.",Available
Half-blood blues ,F EDU,GRAY382586,"Edugyan, Esi.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
Washington Black,F EDU 113,GRAY383739,"Edugyan, Esi.,","SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 57-page guide for “Washington Black” by Esi Edugyan includes detailed chapter summaries and analysis covering 48 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like Race and Identity and Science and Human Progress.",Available
The memory keeper's daughter ,F EDW,GRAY21876,"Edwards, Kim,","Making a decision is always emotionally difficult, but when the decision means giving up a child, it becomes life altering. David Henry, as a doctor, oversees the births of his twin children, a boy and a girl. While the boy is completely healthy, the girl is born with Down syndrome. At this time in the 1960’s, keeping a child at home with such a condition was rare. Edwards’ novel deals with the trauma, secrecy, and the consequences of David Henry’s impulsive decision to give away his daughter. Her memory haunts him, his family, and the reader. Bookclub-in-a-Box deals with the moral issues and dilemmas brought forward through the thematic symbolism of the novel. In addition, Bookclub-in-a-Box highlights a compellingly true story that parallels the fictional tale of the novel.",Available
10 things to do before I die :,F EHR,GRAY17249,"Ehrenhaft, Daniel.",1) Lose my virginity2) Apologize to Rachel3) Get back at Biff4) Jam and party with Shakes the Clown5) Laugh in death’s face6) Go to Africa7) Rob a bank8) Tell Mark to screw himself9) Find out why Grandpa and Dad don't talk10) Tell the truthFrom the Hardcover edition.,Available
My Story: The trenches :,F ELD,GRAY381488,"Eldridge, Jim,","Part of the million-selling MY STORY series that brings the past into the real world, giving it a truly human touch. TRENCHES is set in 1917 and is the story of Billy Stevens, a telegraph operator, stationed near Ypres. The Great War has been raging for three years when Billy finds himself taking part in the deadly Big Push. But he is shocked to discover that the bullets of his fellow soldiers aren't just aimed at the enemy. Vividly imagined and historically accurate, readers are taken on a first-hand journey of danger and peril.",Available
My Story: Flying ace ,F ELD,GRAY381489,"Eldridge, Jim,","Jack Fairfax is the 19-year old second son of Lord and Lady Fairfax. The Fairfaxes are steeped in the military tradition, and don't approve of Jack's volunteering for the Royal Flying Corps. New-fangled flying machines are nothing to do with 'proper' warfare. Nevertheless, Jack takes to the skies in his Bleriot plane, and faces the skills of the German ace pilots over the Somme. When his best friend is shot down by one of them, he vows to avenge him.",Available
BIFOCAL,F ELL,GRAY37777,"Ellis, Deborah and Eric Walters","On the White Ravens' Outstanding New International Books for Children and Young Adults list, 2008ForeWord Magazine's Book of the Year Awards Bronze Medal Winner (YA Fiction category), 2007Snow Willow Award nominee, 2008CCBC's Best Books for Kids and Teens, 2008Two bestselling authors join forces to write a powerful novel about racism.A student arrested on suspicions of terrorism. A high school torn apart by racism. Two boys from two different sets of circumstances forced to choose sides.These are the issues at the heart of Bifocal, a ground-breaking new novel for young-adults.The story is told from two different points of view. Haroon is a serious student devoted to his family. His grandparents emigrated from Afghanistan. Jay is a football star devoted to his team. He is white.One day their high school is put on lockdown, and the police arrest a Muslim student on suspicion of terrorist affiliations. He might be guilty. Or is he singled out because of his race?The entire student body fragments along racial lines and both Haroon and Jay find that their differences initially put them at odds. The Muslim students become targets and a smoke-bomb is set off near their lockers while Jay and his teammates believe they've been set-up to look like racists.Bifocal is, by no stretch, an easy book. Award-winning authors Deborah Ellis and Eric Walters deliver a serious, hard-hitting book about racism that does not talk down to young people.",Available
